"","playerName","restrictedDuo"
"396","Caleb Ryor [US]","Lunala Miraidon"
"397","Georgia Diakov [US]","Miraidon Terapagos"
"398","Aaron Banyard [US]","Lunala Miraidon"
"399","Nathaniel Berger [US]","Kyogre Zacian"
"400","Chris Magnuson [US]","Miraidon Rayquaza"
"401","elisa m [US]","Miraidon Zamazenta"
"402","Collin Agarwal [US]","Calyrex [Shadow Rider] Terapagos"
"403","Kristen Goh [SG]","Calyrex [Ice Rider] Miraidon"
"404","Eric Roush [US]","Groudon Miraidon"
"405","Mickey Rematore [CA]","Kyogre Zacian"
"406","Logan Castro [US]","Calyrex [Shadow Rider] Kyogre"
"407","Christopher Baez [US]","Calyrex [Shadow Rider] Zamazenta"
"408","Toby Halliday [US]","Miraidon Zamazenta"
"409","Xavier Méndez [MX]","Calyrex [Ice Rider] Miraidon"
"410","Nils Dunlop [SE]","Kyogre Zamazenta"
"411","Chris Large [US]","Lunala Miraidon"
"412","Luhou Shen [US]","Eternatus Ho-Oh"
"413","Erin Lomboy [US]","Calyrex [Ice Rider] Miraidon"
"414","Terence Taylor [US]","Calyrex [Shadow Rider] Koraidon"
"415","Griffin Peters [US]","Calyrex [Ice Rider] Miraidon"
"416","Dawei Si [CN]","Groudon Miraidon"
"417","Pablo Verástegui [PE]","Calyrex [Shadow Rider] Zamazenta"
"418","Will Thompson [US]","Calyrex [Shadow Rider] Terapagos"
"419","Mason Day [US]","Calyrex [Ice Rider] Miraidon"
"420","Brian Heck [US]","Calyrex [Shadow Rider] Zamazenta"
